id,sku,name,description,features,categoryId,createdAt,updatedAt
p0001,MS-RUN-001,AeroStride Elite,Premium men's running shoes designed for maximum comfort and performance on any terrain.,"Responsive cushioning,Breathable mesh upper,Durable rubber outsole,Reflective details for visibility",c111,2024-10-02T08:00:00Z,2024-10-02T08:00:00Z
p0002,MS-RUN-002,SpeedForce Runner,Lightweight men's running shoes engineered for speed and agility.,"Ultra-lightweight design,Energy-returning midsole,Aerodynamic profile,Enhanced heel support",c111,2024-10-02T08:10:00Z,2024-10-02T08:10:00Z
p0003,MS-RUN-003,TrailBlazer Pro,Rugged men's trail running shoes with enhanced grip and durability for off-road adventures.,"All-terrain outsole,Water-resistant upper,Rock protection plate,Reinforced toe cap",c111,2024-10-02T08:20:00Z,2024-10-02T08:20:00Z
p0004,MS-RUN-004,Marathon Master,Long-distance men's running shoes designed for endurance and comfort mile after mile.,"Extra cushioned midsole,Stability support system,Ventilated mesh construction,Anti-fatigue technology",c111,2024-10-02T08:30:00Z,2024-10-02T08:30:00Z
p0005,MS-RUN-005,Velocity Boost,Responsive men's running shoes with energy-returning technology for explosive performance.,"Carbon fiber plate,High-rebound foam,Streamlined silhouette,Secure lockdown fit",c111,2024-10-02T08:40:00Z,2024-10-02T08:40:00Z
p0006,MS-BSK-001,HoopMaster Elite,Professional men's basketball shoes with superior ankle support and court grip.,"High-top ankle collar,Multi-directional traction pattern,Impact protection system,Responsive cushioning",c112,2024-10-02T09:00:00Z,2024-10-02T09:00:00Z
p0007,MS-BSK-002,JumpForce Pro,Men's basketball shoes designed for explosive vertical performance and stable landings.,"Zoom air unit,Reinforced heel counter,Midfoot strap system,Anti-slip outsole",c112,2024-10-02T09:10:00Z,2024-10-02T09:10:00Z
p0008,MS-BSK-003,CourtDominator,Versatile men's basketball shoes for all positions with balanced support and agility.,"Adaptive fit system,Court-specific cushioning,Breathable panels,Enhanced durability zones",c112,2024-10-02T09:20:00Z,2024-10-02T09:20:00Z
p0009,MS-BSK-004,Slam Series High,Men's basketball shoes built for power players who demand durability and impact protection.,"Robust outsole,Extra cushioning,Supportive overlay structure,Padded collar and tongue",c112,2024-10-02T09:30:00Z,2024-10-02T09:30:00Z
p0010,MS-CAS-001,Urban Walker,Stylish men's casual shoes perfect for everyday wear with contemporary design.,"Memory foam insole,Flexible construction,Classic silhouette,Versatile colorways",c113,2024-10-02T10:00:00Z,2024-10-02T10:00:00Z
p0011,MS-CAS-002,DayGlider Comfort,Ultra-comfortable men's slip-on shoes for effortless daily wear.,"No-tie elastic laces,Cushioned footbed,Lightweight outsole,Breathable lining",c113,2024-10-02T10:10:00Z,2024-10-02T10:10:00Z
p0012,MS-CAS-003,StreetStyle Canvas,Classic men's canvas shoes with timeless appeal and modern comfort technology.,"Canvas upper,Vulcanized rubber sole,OrthoLite insole,Reinforced stitching",c113,2024-10-02T10:20:00Z,2024-10-02T10:20:00Z
p0013,MS-TRN-001,CrossTrainer Max,Versatile men's training shoes designed for multi-directional movement and gym performance.,"Wide stable base,Flexible forefoot,Heel stability clip,Breathable construction",c114,2024-10-02T11:00:00Z,2024-10-02T11:00:00Z
p0014,MS-TRN-002,PowerLift Pro,Men's weightlifting shoes with incomparable stability and power transfer.,"Rigid platform,Elevated heel,Midfoot strap,Anti-compression midsole",c114,2024-10-02T11:10:00Z,2024-10-02T11:10:00Z
p0015,MS-TRN-003,AgileForce Trainer,Lightweight men's cross-training shoes optimized for high-intensity interval training.,"Multi-surface traction,Minimalist design,Responsive cushioning,Adaptive fit system",c114,2024-10-02T11:20:00Z,2024-10-02T11:20:00Z
p0016,MS-SND-001,ComfortSlide Classic,Essential men's slide sandals with plush cushioning for post-workout recovery.,"Contoured footbed,Quick-dry materials,Textured sole,Adjustable strap",c115,2024-10-02T12:00:00Z,2024-10-02T12:00:00Z
p0017,MS-SND-002,Adventure Sandal,Rugged men's outdoor sandals designed for water activities and hiking.,"Multi-terrain outsole,Waterproof materials,Adjustable straps,Quick-drying lining",c115,2024-10-02T12:10:00Z,2024-10-02T12:10:00Z
p0018,MT-TSH-001,Essential Crew Tee,Classic men's crew neck t-shirt made from premium cotton for everyday comfort.,"Soft cotton blend,Reinforced stitching,Tagless design,Pre-shrunk fabric",c121,2024-10-03T08:00:00Z,2024-10-03T08:00:00Z
p0019,MT-TSH-002,Performance Training Tee,Technical men's t-shirt designed for intense workouts with moisture-wicking technology.,"Sweat-wicking fabric,Anti-odor technology,Flatlock seams,Reflective details",c121,2024-10-03T08:10:00Z,2024-10-03T08:10:00Z
p0020,MT-TSH-003,Graphic Statement Tee,Bold men's t-shirt featuring unique graphic designs and premium comfort.,"Artistic prints,Soft touch fabric,Modern fit,Durable construction",c121,2024-10-03T08:20:00Z,2024-10-03T08:20:00Z
p0021,MT-PLO-001,Classic Piqué Polo,Timeless men's polo shirt crafted from premium piqué cotton for versatile style.,"Traditional piqué knit,Three-button placket,Ribbed collar and cuffs,Side vents",c122,2024-10-03T09:00:00Z,2024-10-03T09:00:00Z
p0022,MT-PLO-002,Performance Sport Polo,Technical men's polo designed for golf and active lifestyles with cooling technology.,"Moisture-wicking fabric,UPF 50+ protection,4-way stretch,Anti-curl collar",c122,2024-10-03T09:10:00Z,2024-10-03T09:10:00Z
p0023,MT-LSL-001,Thermal Crew,Men's long sleeve thermal shirt providing warmth without bulk for cooler conditions.,"Thermal regulating fabric,Flatlock seams,Tagless design,Extended length",c123,2024-10-03T10:00:00Z,2024-10-03T10:00:00Z
p0024,MT-LSL-002,Tech Training Long Sleeve,Performance men's long sleeve shirt with advanced moisture management for extended workouts.,"Quick-dry technology,Ventilation zones,Thumbhole cuffs,Reflective elements",c123,2024-10-03T10:10:00Z,2024-10-03T10:10:00Z
p0025,MT-TNK-001,Training Tank,Lightweight men's tank top designed for intense training sessions with maximum mobility.,"Breathable mesh,Racerback design,Moisture-wicking fabric,Chafe-free construction",c124,2024-10-03T11:00:00Z,2024-10-03T11:00:00Z
p0026,MT-TNK-002,Muscle Fit Tank,Form-fitting men's tank showcasing athletic physiques with stretch fabric technology.,"4-way stretch material,Shaped hem,Premium cotton blend,Muscle-defining cut",c124,2024-10-03T11:10:00Z,2024-10-03T11:10:00Z
p0027,MB-PNT-001,Everyday Chino,Versatile men's chino pants combining casual comfort with smart style for any occasion.,"Stretch cotton twill,Flat front design,Reinforced pockets,Tailored fit",c131,2024-10-04T08:00:00Z,2024-10-04T08:00:00Z
p0028,MB-PNT-002,Tech Commuter Pant,Innovative men's pants designed for active urban lifestyles with hidden technical features.,"Water-resistant finish,4-way stretch fabric,Hidden zippered pocket,Reflective details",c131,2024-10-04T08:10:00Z,2024-10-04T08:10:00Z
p0029,MB-JOG-001,Premium Fleece Jogger,Luxuriously soft men's joggers perfect for lounging and light activities.,"Brushed interior fleece,Tapered leg,Adjustable drawstring,Deep pockets",c132,2024-10-04T09:00:00Z,2024-10-04T09:00:00Z
p0030,MB-JOG-002,Athletic Performance Jogger,Technical men's joggers built for training with advanced moisture management.,"Sweat-wicking fabric,Zippered pockets,Articulated knees,Ankle zippers",c132,2024-10-04T09:10:00Z,2024-10-04T09:10:00Z
p0031,MB-SHT-001,Training 7-inch Short,Men's workout shorts designed for maximum range of motion during intense training.,"Lightweight stretch fabric,Built-in liner,Side vents,Secure pocket",c133,2024-10-04T10:00:00Z,2024-10-04T10:00:00Z
p0032,MB-SHT-002,Weekend Walk Short,Casual men's shorts with versatile style perfect for everyday summer activities.,"Quick-dry material,Multiple pockets,Comfortable waistband,Durable construction",c133,2024-10-04T10:10:00Z,2024-10-04T10:10:00Z
p0033,WS-RUN-001,CloudStep Elite,Women's premium running shoes engineered for cushioned comfort and responsive performance.,"Plush cushioning system,Seamless upper construction,Adaptive fit technology,Impact protection",c211,2024-10-05T08:00:00Z,2024-10-05T08:00:00Z
p0034,WS-RUN-002,SpeedPhase Lite,Ultra-lightweight women's running shoes designed for racing and tempo training.,"Minimal weight design,Propulsion plate,Breathable mesh,Race-ready construction",c211,2024-10-05T08:10:00Z,2024-10-05T08:10:00Z
p0035,WS-RUN-003,TrailAdventure Pro,Durable women's trail running shoes with superior grip and protection for off-road exploration.,"Aggressive lug pattern,Protective rock plate,Water-resistant upper,Reinforced toe",c211,2024-10-05T08:20:00Z,2024-10-05T08:20:00Z
p0036,WS-TRN-001,FlexFit Trainer,Versatile women's training shoes designed for studio workouts and cross-training.,"Flat stable base,Flexible forefoot,Multi-directional traction,Midfoot support strap",c212,2024-10-05T09:00:00Z,2024-10-05T09:00:00Z
p0037,WS-TRN-002,PowerLift Femme,Women's weightlifting shoes providing optimal stability and power transfer.,"Incompressible heel,Wide platform,Secure lockdown strap,Anti-slip outsole",c212,2024-10-05T09:10:00Z,2024-10-05T09:10:00Z
p0038,WS-CAS-001,DayGlide Comfort,Women's casual slip-on shoes combining contemporary style with all-day comfort.,"Memory foam footbed,Flexible sole,Elastic goring,Soft textile lining",c213,2024-10-05T10:00:00Z,2024-10-05T10:00:00Z
p0039,WS-CAS-002,Urban Explorer,Versatile women's casual shoes perfect for city adventures and everyday wear.,"Cushioned insole,Lightweight construction,Street-ready style,Durable outsole",c213,2024-10-05T10:10:00Z,2024-10-05T10:10:00Z
p0040,WS-LST-001,Fashion Forward,Trendy women's lifestyle shoes that make a bold statement with unique design elements.,"Fashion-forward silhouette,Premium materials,Comfort footbed,Distinctive detailing",c214,2024-10-05T11:00:00Z,2024-10-05T11:00:00Z
p0041,WS-LST-002,Heritage Classic,Iconic women's lifestyle shoes with retro-inspired design and modern comfort.,"Vintage aesthetics,Contemporary comfort,Iconic branding,Premium materials",c214,2024-10-05T11:10:00Z,2024-10-05T11:10:00Z
p0042,WS-SND-001,Comfort Cloud Slide,Plush women's slide sandals designed for recovery and relaxation.,"Ultra-soft footbed,Contoured support,Quick-dry materials,Adjustable strap",c215,2024-10-05T12:00:00Z,2024-10-05T12:00:00Z
p0043,WS-SND-002,Adventure Strap Sandal,Versatile women's sport sandals built for water activities and light hiking.,"Grippy rubber outsole,Quick-drying webbing,Adjustable straps,Cushioned footbed",c215,2024-10-05T12:10:00Z,2024-10-05T12:10:00Z
p0044,WT-TSH-001,Essential Crew Tee,Classic women's t-shirt crafted from soft cotton blend for everyday comfort.,"Soft cotton blend,Flattering fit,Reinforced seams,Multiple colorways",c221,2024-10-06T08:00:00Z,2024-10-06T08:00:00Z
p0045,WT-TSH-002,Performance Training Tee,Technical women's t-shirt engineered for intense workouts with cooling technology.,"Moisture-wicking fabric,Anti-odor treatment,Reflective details,Ventilation zones",c221,2024-10-06T08:10:00Z,2024-10-06T08:10:00Z
p0046,WT-TNK-001,Essential Training Tank,Lightweight women's tank top designed for maximum mobility during workouts.,"Breathable fabric,Racerback design,Sweat-wicking technology,Flattering fit",c222,2024-10-06T09:00:00Z,2024-10-06T09:00:00Z
p0047,WT-TNK-002,Studio Flow Tank,Women's premium tank top with elegant drape and soft hand feel for yoga and studio sessions.,"4-way stretch fabric,Elongated silhouette,Moisture management,Lightweight material",c222,2024-10-06T09:10:00Z,2024-10-06T09:10:00Z
p0048,WT-LSL-001,Thermal Long Sleeve,Women's thermal long sleeve top providing essential warmth without bulk for cooler conditions.,"Thermal retention fabric,Flatlock seams,Extended length,Thumbhole cuffs",c223,2024-10-06T10:00:00Z,2024-10-06T10:00:00Z
p0049,WT-LSL-002,Performance Long Sleeve,Technical women's long sleeve shirt with advanced cooling for extended training sessions.,"Quick-drying material,UPF protection,Reflective elements,Ergonomic seams",c223,2024-10-06T10:10:00Z,2024-10-06T10:10:00Z
p0050,WB-LEG-001,Ultimate Performance Legging,Women's premium compression leggings designed for high-impact workouts and maximum support.,"Compression fit,Squat-proof fabric,Hidden waistband pocket,High-rise waistband",c231,2024-10-07T08:00:00Z,2024-10-07T08:00:00Z
p0051,WB-LEG-002,Studio Flow Legging,Soft women's leggings ideal for yoga and low-impact activities with gentle compression.,"4-way stretch fabric,Butter-soft feel,Wide waistband,Seamless construction",c231,2024-10-07T08:10:00Z,2024-10-07T08:10:00Z
p0052,WB-LEG-003,Everyday Comfort Legging,Versatile women's leggings for active lifestyles and casual wear with all-day comfort.,"Cotton-blend fabric,Medium compression,Multiple pockets,Versatile design",c231,2024-10-07T08:20:00Z,2024-10-07T08:20:00Z
p0053,WB-PNT-001,Tech Commuter Pant,Innovative women's pants combining sophisticated style with technical performance features.,"4-way stretch fabric,Water-resistant finish,Hidden zippered pocket,Tapered fit",c232,2024-10-07T09:00:00Z,2024-10-07T09:00:00Z
p0054,WB-PNT-002,Weekend Wander Pant,Relaxed women's pants perfect for casual outings with elevated comfort and style.,"Breathable cotton blend,Elastic waistband,Multiple pockets,Relaxed silhouette",c232,2024-10-07T09:10:00Z,2024-10-07T09:10:00Z
p0055,WB-SHT-001,Training 5-inch Short,Women's athletic shorts designed for intense workouts with built-in compression.,"Sweat-wicking fabric,Built-in liner,Side vents,Secure pocket",c233,2024-10-07T10:00:00Z,2024-10-07T10:00:00Z
p0056,WB-SHT-002,Everyday Move Short,Versatile women's shorts for multi-purpose activities and casual wear.,"Lightweight material,Comfortable waistband,Multiple pockets,Quick-drying fabric",c233,2024-10-07T10:10:00Z,2024-10-07T10:10:00Z
p0057,WB-SKT-001,Active Skort,Women's athletic skirt with built-in shorts providing style and functionality.,"Performance fabric,Built-in compression shorts,Hidden pocket,Flattering fit",c234,2024-10-07T11:00:00Z,2024-10-07T11:00:00Z
p0058,WB-SKT-002,Court Classic Skirt,Women's tennis-inspired skirt designed for performance and traditional style.,"Breathable fabric,Wide waistband,Pleated details,Built-in shorts",c234,2024-10-07T11:10:00Z,2024-10-07T11:10:00Z
p0059,KS-BOY-001,Youth Speedster,Boys' athletic shoes designed for growing feet with supportive cushioning and durability.,"Flexible outsole,Breathable upper,Growth allowance,Durable construction",c311,2024-10-08T08:00:00Z,2024-10-08T08:00:00Z
p0060,KS-BOY-002,Kids Court Classic,Boys' classic court shoes with timeless style and playground durability.,"Durable canvas upper,Non-marking outsole,Reinforced toecap,Easy-on design",c311,2024-10-08T08:10:00Z,2024-10-08T08:10:00Z
p0061,KS-GRL-001,Girls Swift Runner,Lightweight girls' running shoes with cushioned support and fun design elements.,"Cushioned midsole,Breathable mesh,Fun colorways,Easy-on construction",c312,2024-10-08T09:00:00Z,2024-10-08T09:00:00Z
p0062,KS-GRL-002,Sparkle Street,Fashion-forward girls' casual shoes with eye-catching details and comfortable design.,"Memory foam insole,Glitter accents,Flexible outsole,Adjustable closure",c312,2024-10-08T09:10:00Z,2024-10-08T09:10:00Z
p0063,KS-TOD-001,First Steps,Supportive toddler shoes designed for early walkers with maximum stability and flexibility.,"Wide base design,Flexible sole,Secure closure,Soft interior",c313,2024-10-08T10:00:00Z,2024-10-08T10:00:00Z
p0064,KS-TOD-002,Play All Day,Durable toddler shoes built to withstand active play and exploration.,"Reinforced toe,Washable materials,Quick-dry construction,Non-marking outsole",c313,2024-10-08T10:10:00Z,2024-10-08T10:10:00Z
p0065,AC-BAG-001,Trainer Duffel,Spacious sport duffel bag with multiple compartments for organized gym storage.,"Water-resistant material,Shoe compartment,Multiple pockets,Padded shoulder strap",c401,2024-10-09T08:00:00Z,2024-10-09T08:00:00Z
p0066,AC-BAG-002,Tech Backpack,Modern backpack with dedicated laptop sleeve and organization for active lifestyles.,"Padded laptop compartment,Water bottle pocket,Reflective details,Ventilated back panel",c401,2024-10-09T08:10:00Z,2024-10-09T08:10:00Z
p0067,AC-HAT-001,Performance Running Cap,Lightweight cap with moisture-wicking sweatband and reflective details for runners.,"Quick-dry fabric,Reflective elements,Adjustable closure,Curved bill",c402,2024-10-09T09:00:00Z,2024-10-09T09:00:00Z
p0068,AC-HAT-002,Classic Snapback,Streetwear-inspired flat-brim cap with adjustable snapback closure and embroidered logo.,"Structured design,Flat visor,Breathable eyelets,Adjustable snapback",c402,2024-10-09T09:10:00Z,2024-10-09T09:10:00Z
p0069,AC-SCK-001,Performance Crew Socks,Athletic crew socks with targeted cushioning and arch support for training.,"Cushioned footbed,Arch compression,Mesh ventilation,Reinforced heel and toe",c403,2024-10-09T10:00:00Z,2024-10-09T10:00:00Z
p0070,AC-SCK-002,No-Show Technical Socks,Low-profile athletic socks with heel grip and moisture management.,"Silicone heel grip,Seamless toe,Ventilation channels,Moisture-wicking yarn",c403,2024-10-09T10:10:00Z,2024-10-09T10:10:00Z
p0076,MS-HIK-001,Summit Trek Pro,Premium men's hiking boots with waterproof lining and rugged outsole.,"Waterproof membrane,Ankle support,Toe protection,Vibram outsole",c116,2024-10-10T13:00:00Z,2024-10-10T13:00:00Z
p0077,WT-SBR-001,PowerFlex Bra,High-impact sports bra with breathable compression fabric.,"Moisture-wicking,Adjustable straps,Removable padding,Seamless edges",c226,2024-10-10T13:05:00Z,2024-10-10T13:05:00Z
p0082,MS-SLP-001,ComfortGlide Slip-On,Men's slip-on shoes with elastic goring for easy wear.,"Elastic side panels,Memory foam insole,Slip-resistant outsole,Lightweight design",c117,2024-10-10T15:00:00Z,2024-10-10T15:00:00Z
p0083,WT-CRP-001,ActiveFlex Crop Top,Women's moisture-wicking crop top for workouts and casual wear.,"Breathable fabric,Four-way stretch,Flatlock seams,UV protection",c226,2024-10-10T15:05:00Z,2024-10-10T15:05:00Z
p0084,AC-WGL-001,Thermal Grip Gloves,Winter gloves with touchscreen compatibility and thermal insulation.,"Water-resistant shell,Primaloft insulation,Adjustable wrist strap,Touchscreen fingertips",c407,2024-10-10T15:10:00Z,2024-10-10T15:10:00Z
p0085,KS-SWG-001,AquaClear Goggles,Anti-fog swim goggles for kids with UV protection.,"Polarized lenses,Adjustable straps,Leak-proof seal,UV400 protection",c315,2024-10-10T15:15:00Z,2024-10-10T15:15:00Z
p0086,MS-BTS-001,Nautical Classic,Men's boat shoes with hand-sewn construction and durable outsole.,"Leather upper,Non-marking rubber sole,360° lacing system,Breathable design",c126,2024-10-10T15:20:00Z,2024-10-10T15:20:00Z
p0078,MS-RUN-078,StrideMaster 670,High-performance running shoes optimized for daily training.,"Lightweight design,Responsive cushioning,Breathable mesh upper",c111,2024-10-02T13:50:00Z,2024-10-02T13:50:00Z
p0079,MS-RUN-079,StrideMaster 308,High-performance running shoes optimized for daily training.,"Carbon fiber plate,High-rebound foam,Durable rubber outsole",c111,2024-10-02T12:23:00Z,2024-10-02T12:23:00Z
p0080,MS-RUN-080,StrideMaster 172,High-performance running shoes optimized for trail running.,"Breathable mesh upper,Lightweight design,Responsive cushioning",c111,2024-10-02T19:13:00Z,2024-10-02T19:13:00Z
p0081,MS-RUN-081,StrideMaster 958,High-performance running shoes optimized for speed.,"Carbon fiber plate,Shock-absorbing midsole,Water-resistant coating",c111,2024-10-02T08:13:00Z,2024-10-02T08:13:00Z
